trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-100.36637971932018,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-66.32542518149562,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-144.70356553827676,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-126.50843909248744,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-122.07375180453123,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,2,-0.4229528353097072,"{0: 24, 1: 0, 2: 4, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,3,3.2484820839657944,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-52.879456073701775,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-45.35114123637554,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-3.5544381412173207,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-58.03565689951864,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-56.54930604251858,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-4.870671423456933,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-13.916135282609075,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-30.93182222313657,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,10,-75.38180478873552,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-17.830298650202685,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,29.037057744728514,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,14,18.309343512955643,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,1,-25.580793126679563,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",25,0,-3.180541890666081,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,2,28.694384835472135,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,0,31.3132158466284,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,15,9.733894163607275,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,1,32.36556222825347,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,0,28.035415802205,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",30,8,36.207109601703884,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,4,34.37237593513945,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,3,32.374222809908254,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,0,8.149528951363623,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
